,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
176,"(0, 1, 9, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
177,"(0, 1, 9, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
178,"(0, 1, 9, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
179,"(0, 1, 9, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 0, 0, 1, 1]])",1,[0 0 0 -1 1],1
181,"(0, 1, 9, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [1, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
182,"(0, 1, 9, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [1, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
183,"(0, 1, 9, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [1, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
184,"(0, 1, 9, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [1, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
185,"(0, 1, 9, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [1, 0, 0, 1, 1]])",1,[0 0 0 -1 1],1
186,"(0, 1, 9, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
187,"(0, 1, 9, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
188,"(0, 1, 9, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
189,"(0, 1, 9, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
